class_id,status,elapsed_ms,candidate_count,detail
11001,difference_test_written,1417,125,candidate_index=55;method1=OK;method2=OK
11002,difference_test_written,1155,100,candidate_index=12;method1=OK;method2=OK
11003,no_counterexample_found,1199,100,
11004,no_counterexample_found,1162,100,
11005,no_counterexample_found,1127,100,
11006,no_counterexample_found,1224,100,
11007,no_counterexample_found,1190,100,
11008,difference_test_written,1182,100,candidate_index=10;method1=EX;method2=OK
11009,no_counterexample_found,1191,100,
11010,difference_test_written,1138,100,candidate_index=10;method1=OK;method2=EX
11011,no_counterexample_found,1184,100,
11012,no_counterexample_found,1013,4,
11013,no_counterexample_found,1172,81,
11014,no_counterexample_found,992,7,
11015,no_counterexample_found,1015,7,
11016,difference_test_written,1255,125,candidate_index=89;method1=OK;method2=EX
11017,no_counterexample_found,1030,7,
11018,no_counterexample_found,1001,7,
11019,no_counterexample_found,1037,7,
11020,no_counterexample_found,1151,65,
11021,no_counterexample_found,1145,52,
11022,no_counterexample_found,1032,7,
11023,no_counterexample_found,999,7,
11024,no_counterexample_found,1035,7,
11025,no_counterexample_found,1257,125,
11026,no_counterexample_found,1195,100,
11027,no_counterexample_found,982,7,
11028,no_counterexample_found,985,7,
11029,no_counterexample_found,1116,50,
11030,no_counterexample_found,1141,50,
11031,no_counterexample_found,1003,7,
11032,no_counterexample_found,1095,50,
11033,no_counterexample_found,1022,7,
11034,no_counterexample_found,1150,50,
11035,no_counterexample_found,1029,7,
11036,no_counterexample_found,1100,50,
11037,no_counterexample_found,1157,50,
11038,no_counterexample_found,1004,7,
11039,no_counterexample_found,993,7,
11040,no_counterexample_found,999,7,
11041,no_counterexample_found,1100,50,
11042,no_counterexample_found,1101,50,
11043,no_counterexample_found,1065,7,
11044,no_counterexample_found,1076,50,
11045,no_counterexample_found,1124,50,
11046,no_counterexample_found,1090,50,
11047,no_counterexample_found,1131,50,
11048,difference_test_written,1107,50,candidate_index=41;method1=EX;method2=OK
11049,no_counterexample_found,1141,50,
11050,no_counterexample_found,1125,50,
11051,no_counterexample_found,1016,7,
11052,no_counterexample_found,1090,50,
11053,difference_test_written,1115,50,candidate_index=41;method1=EX;method2=OK
11054,no_counterexample_found,1126,50,
11055,no_counterexample_found,1107,50,
11056,difference_test_written,1099,52,candidate_index=0;method1=EX;method2=OK
11057,difference_test_written,1144,50,candidate_index=41;method1=EX;method2=OK
11058,no_counterexample_found,1129,50,
11059,difference_test_written,1113,52,candidate_index=0;method1=EX;method2=OK
11060,difference_test_written,1133,52,candidate_index=22;method1=OK;method2=EX
11061,no_counterexample_found,1095,50,
11062,no_counterexample_found,1125,50,
11063,no_counterexample_found,1123,50,
11064,difference_test_written,1074,50,candidate_index=41;method1=OK;method2=EX
11065,no_counterexample_found,1092,50,
11066,no_counterexample_found,1093,50,
11067,difference_test_written,1076,50,candidate_index=41;method1=OK;method2=EX
11068,difference_test_written,1123,52,candidate_index=0;method1=EX;method2=OK
11069,no_counterexample_found,1115,50,
11070,no_counterexample_found,1092,50,
11071,no_counterexample_found,1066,43,
11072,no_counterexample_found,1090,50,
11073,difference_test_written,1098,52,candidate_index=0;method1=EX;method2=OK
11074,no_counterexample_found,1107,52,
11075,no_counterexample_found,1120,50,
11076,no_counterexample_found,1109,50,
11077,no_counterexample_found,1104,50,
11078,difference_test_written,1157,125,candidate_index=9;method1=EX;method2=OK
11079,difference_test_written,1114,80,candidate_index=7;method1=EX;method2=OK
11080,no_counterexample_found,1136,50,
11081,no_counterexample_found,1104,43,
11082,no_counterexample_found,1110,52,
11083,no_counterexample_found,1064,50,
11084,no_counterexample_found,1126,52,
11085,no_counterexample_found,1129,52,
11086,difference_test_written,1131,68,candidate_index=7;method1=EX;method2=OK
11087,difference_test_written,1117,52,candidate_index=0;method1=EX;method2=OK
11088,no_counterexample_found,1094,43,
11089,difference_test_written,1117,80,candidate_index=7;method1=EX;method2=OK
11090,no_counterexample_found,1111,50,
11091,difference_test_written,1136,68,candidate_index=7;method1=EX;method2=OK
11092,no_counterexample_found,1112,50,
11093,no_counterexample_found,1136,50,
11094,no_counterexample_found,1102,43,
11095,difference_test_written,1154,68,candidate_index=7;method1=EX;method2=OK
11096,no_counterexample_found,1115,50,
11097,no_counterexample_found,1088,50,
11098,difference_test_written,1108,52,candidate_index=0;method1=EX;method2=OK
11099,no_counterexample_found,1077,50,
11100,no_counterexample_found,1104,43,
11101,difference_test_written,1130,43,candidate_index=19;method1=OK;method2=EX
11102,no_counterexample_found,1382,164,
11103,no_counterexample_found,1291,164,
11104,no_counterexample_found,1123,43,
11105,difference_test_written,1113,68,candidate_index=7;method1=EX;method2=OK
11106,no_counterexample_found,1359,164,
11107,difference_test_written,1328,164,candidate_index=14;method1=OK;method2=EX
11108,no_counterexample_found,1327,164,
11109,difference_test_written,1321,164,candidate_index=14;method1=OK;method2=EX
11110,difference_test_written,1340,164,candidate_index=14;method1=EX;method2=OK
11111,difference_test_written,1124,64,candidate_index=0;method1=EX;method2=OK
11112,difference_test_written,1317,164,candidate_index=14;method1=OK;method2=EX
11113,no_counterexample_found,1165,52,
11114,difference_test_written,1125,52,candidate_index=0;method1=EX;method2=OK
11115,difference_test_written,1137,68,candidate_index=7;method1=EX;method2=OK
11116,difference_test_written,1126,68,candidate_index=7;method1=EX;method2=OK
11117,difference_test_written,1096,80,candidate_index=7;method1=EX;method2=OK
11118,difference_test_written,1132,68,candidate_index=7;method1=EX;method2=OK
11119,no_counterexample_found,1191,113,
11120,no_counterexample_found,1181,113,
11121,no_counterexample_found,1057,43,
11122,no_counterexample_found,1193,113,
11123,no_counterexample_found,1116,52,
11124,difference_test_written,1096,52,candidate_index=0;method1=EX;method2=OK
11125,difference_test_written,1170,125,candidate_index=9;method1=EX;method2=OK
11126,no_counterexample_found,1011,7,
11127,no_counterexample_found,969,7,
11128,no_counterexample_found,975,7,
11129,no_counterexample_found,1144,65,
11130,no_counterexample_found,981,7,
11131,no_counterexample_found,1048,40,
