class_id,status,elapsed_ms,candidate_count,details
9001,no_counterexample_found,2922,81,
9002,no_counterexample_found,2269,7,
9003,no_counterexample_found,2266,7,
9004,no_counterexample_found,2321,81,
9005,no_counterexample_found,2691,64,
9006,no_counterexample_found,2432,81,
9007,no_counterexample_found,2635,81,
9008,no_counterexample_found,2387,81,
9009,no_counterexample_found,2274,81,
9010,difference_test_written,2234,81,candidate_index=1;method1=EX;method2=OK
9011,no_counterexample_found,2362,36,
9012,no_counterexample_found,2537,44,
9013,no_counterexample_found,2356,44,
9014,no_counterexample_found,2350,44,
9015,no_counterexample_found,2464,100,
9016,no_counterexample_found,2094,7,
9017,no_counterexample_found,2114,7,
9018,no_counterexample_found,2032,7,
9019,no_counterexample_found,2118,7,
9020,no_counterexample_found,2141,7,
9021,no_counterexample_found,2141,10,
9022,no_counterexample_found,2189,10,
9023,no_counterexample_found,2150,10,
9024,no_counterexample_found,2054,10,
9025,no_counterexample_found,2179,10,
9026,no_counterexample_found,2130,10,
9027,no_counterexample_found,2405,100,
9028,difference_test_written,2129,10,candidate_index=0;method1=OK;method2=OK
9029,no_counterexample_found,2464,81,
9030,no_counterexample_found,2507,81,
9031,no_counterexample_found,2443,81,
9032,difference_test_written,2406,81,candidate_index=9;method1=EX;method2=OK
9033,no_counterexample_found,2048,7,
9034,no_counterexample_found,2505,81,
9035,no_counterexample_found,2488,81,
9036,no_counterexample_found,2445,81,
9037,no_counterexample_found,2463,81,
9038,no_counterexample_found,2476,81,
9039,difference_test_written,2367,81,candidate_index=1;method1=EX;method2=OK
9040,no_counterexample_found,2153,16,
9041,difference_test_written,2140,10,candidate_index=1;method1=OK;method2=EX
9042,no_counterexample_found,2463,16,
9043,no_counterexample_found,2330,100,
9044,no_counterexample_found,2085,7,
9045,no_counterexample_found,2063,7,
9046,no_counterexample_found,2792,181,
9047,no_counterexample_found,2164,7,
9048,no_counterexample_found,2298,16,
9049,no_counterexample_found,2165,7,
9050,no_counterexample_found,2832,113,
9051,no_counterexample_found,2520,100,
9052,no_counterexample_found,2166,7,
9053,no_counterexample_found,2166,16,
9054,no_counterexample_found,2415,100,
9055,no_counterexample_found,2467,25,
9056,no_counterexample_found,2508,100,
9057,no_counterexample_found,2011,7,
9058,no_counterexample_found,2111,7,
9059,no_counterexample_found,2262,16,
9060,difference_test_written,2389,100,candidate_index=3;method1=OK;method2=OK
9061,no_counterexample_found,2292,16,
9062,no_counterexample_found,2345,16,
9063,difference_test_written,2635,81,candidate_index=17;method1=OK;method2=EX
9064,no_counterexample_found,2810,81,
9065,difference_test_written,2695,81,candidate_index=17;method1=OK;method2=EX
9066,difference_test_written,2279,100,candidate_index=2;method1=OK;method2=OK
9067,no_counterexample_found,2117,6,
9068,difference_test_written,2540,81,candidate_index=17;method1=OK;method2=EX
9069,no_counterexample_found,2418,6,
9070,difference_test_written,2345,81,candidate_index=17;method1=OK;method2=EX
9071,no_counterexample_found,2225,90,
9072,no_counterexample_found,1953,6,
9073,no_counterexample_found,2264,16,
9074,no_counterexample_found,2308,16,
9075,no_counterexample_found,2451,90,
9076,no_counterexample_found,1982,6,
9077,no_counterexample_found,2314,90,
9078,no_counterexample_found,2355,81,
9079,no_counterexample_found,1996,16,
9080,no_counterexample_found,2047,81,
9081,no_counterexample_found,2169,81,
9082,no_counterexample_found,2077,6,
9083,no_counterexample_found,2280,81,
9084,difference_test_written,2156,81,candidate_index=45;method1=OK;method2=OK
9085,no_counterexample_found,1950,7,
9086,no_counterexample_found,2128,81,
9087,no_counterexample_found,2253,81,
9088,no_counterexample_found,2148,81,
9089,difference_test_written,2130,81,candidate_index=1;method1=EX;method2=OK
9090,difference_test_written,2128,90,candidate_index=63;method1=OK;method2=OK
9091,no_counterexample_found,1896,7,
9092,no_counterexample_found,2207,81,
9093,no_counterexample_found,2422,81,
9094,no_counterexample_found,2207,81,
9095,no_counterexample_found,2253,81,
9096,no_counterexample_found,2163,81,
9097,no_counterexample_found,1696,7,
9098,difference_test_written,2183,81,candidate_index=1;method1=EX;method2=OK
9099,no_counterexample_found,1972,7,
9100,no_counterexample_found,1976,10,
9101,difference_test_written,1935,7,candidate_index=0;method1=OK;method2=OK
9102,no_counterexample_found,2237,100,
9103,no_counterexample_found,2524,100,
9104,no_counterexample_found,2929,100,
9105,no_counterexample_found,2443,100,
9106,no_counterexample_found,2442,100,
9107,no_counterexample_found,2762,100,
9108,difference_test_written,2571,90,candidate_index=54;method1=OK;method2=OK
9109,difference_test_written,2497,81,candidate_index=8;method1=OK;method2=OK
9110,difference_test_written,2693,90,candidate_index=45;method1=OK;method2=EX
9111,difference_test_written,2791,90,candidate_index=54;method1=OK;method2=OK
9112,difference_test_written,2517,90,candidate_index=54;method1=OK;method2=OK
9113,difference_test_written,2430,90,candidate_index=54;method1=OK;method2=OK
9114,no_counterexample_found,2338,7,
9115,difference_test_written,2636,90,candidate_index=54;method1=OK;method2=OK
9116,difference_test_written,2511,90,candidate_index=54;method1=OK;method2=OK
9117,difference_test_written,2384,90,candidate_index=45;method1=OK;method2=OK
9118,difference_test_written,2381,90,candidate_index=54;method1=OK;method2=OK
9119,difference_test_written,2331,90,candidate_index=45;method1=OK;method2=OK
9120,difference_test_written,2264,90,candidate_index=54;method1=OK;method2=OK
9121,difference_test_written,2359,90,candidate_index=54;method1=OK;method2=OK
9122,difference_test_written,2177,90,candidate_index=54;method1=OK;method2=OK
9123,no_counterexample_found,2402,7,
9124,difference_test_written,2547,90,candidate_index=8;method1=OK;method2=EX
9125,no_counterexample_found,2388,100,
9126,no_counterexample_found,2154,90,
9127,difference_test_written,2256,90,candidate_index=64;method1=OK;method2=OK
9128,no_counterexample_found,2487,90,
9129,no_counterexample_found,2199,100,
9130,no_counterexample_found,2141,90,
9131,no_counterexample_found,2483,90,
9132,difference_test_written,2504,90,candidate_index=46;method1=OK;method2=OK
9133,no_counterexample_found,2470,90,
9134,difference_test_written,2277,90,candidate_index=46;method1=OK;method2=OK
9135,no_counterexample_found,2312,90,
9136,no_counterexample_found,2450,90,
9137,no_counterexample_found,2470,90,
9138,no_counterexample_found,2070,7,
9139,no_counterexample_found,2289,81,
9140,no_counterexample_found,2251,81,
9141,no_counterexample_found,2215,100,
9142,no_counterexample_found,1855,10,
9143,no_counterexample_found,2060,81,
9144,no_counterexample_found,2206,90,
9145,no_counterexample_found,2180,90,
9146,no_counterexample_found,1989,7,
9147,difference_test_written,2401,90,candidate_index=63;method1=OK;method2=OK
9148,no_counterexample_found,2334,100,
9149,no_counterexample_found,2634,100,
9150,no_counterexample_found,3304,125,
9151,no_counterexample_found,2378,81,
9152,no_counterexample_found,2260,7,
9153,no_counterexample_found,2085,6,
9154,no_counterexample_found,2126,6,
9155,no_counterexample_found,1882,7,
9156,no_counterexample_found,1799,6,
9157,no_counterexample_found,1810,6,
9158,no_counterexample_found,2251,81,
9159,no_counterexample_found,2063,6,
9160,no_counterexample_found,1947,7,
9161,no_counterexample_found,2330,81,
9162,no_counterexample_found,1919,7,
9163,no_counterexample_found,2278,6,
9164,no_counterexample_found,2279,100,
9165,difference_test_written,2175,81,candidate_index=26;method1=OK;method2=OK
9166,no_counterexample_found,2093,81,
9167,no_counterexample_found,2156,81,
9168,no_counterexample_found,2239,81,
9169,no_counterexample_found,2177,81,
9170,no_counterexample_found,2287,81,
9171,no_counterexample_found,2283,81,
9172,no_counterexample_found,1960,7,
9173,no_counterexample_found,2220,81,
9174,no_counterexample_found,1900,7,
9175,no_counterexample_found,2077,90,
9176,no_counterexample_found,2003,7,
9177,no_counterexample_found,1925,5,
9178,difference_test_written,1905,5,candidate_index=3;method1=OK;method2=OK
9179,difference_test_written,2077,7,candidate_index=0;method1=OK;method2=OK
9180,no_counterexample_found,1913,7,
9181,no_counterexample_found,1853,7,
9182,difference_test_written,2000,7,candidate_index=0;method1=OK;method2=OK
9183,no_counterexample_found,1933,7,
9184,no_counterexample_found,2152,100,
9185,no_counterexample_found,2004,7,
9186,no_counterexample_found,2042,7,
9187,no_counterexample_found,2090,7,
9188,no_counterexample_found,1937,5,
9189,no_counterexample_found,1797,7,
9190,no_counterexample_found,2010,7,
9191,no_counterexample_found,2047,7,
9192,no_counterexample_found,2096,7,
9193,no_counterexample_found,2307,125,
9194,no_counterexample_found,2184,100,
9195,difference_test_written,2144,100,candidate_index=11;method1=OK;method2=OK
9196,no_counterexample_found,2294,125,
9197,no_counterexample_found,1947,7,
9198,no_counterexample_found,1925,7,
9199,no_counterexample_found,2220,50,
9200,no_counterexample_found,2121,81,
9201,no_counterexample_found,1914,7,
9202,no_counterexample_found,1826,7,
9203,no_counterexample_found,2120,81,
9204,no_counterexample_found,2202,81,
9205,no_counterexample_found,2359,81,
9206,no_counterexample_found,2279,43,
9207,no_counterexample_found,1982,7,
9208,difference_test_written,2271,80,candidate_index=7;method1=OK;method2=OK
9209,no_counterexample_found,2213,52,
9210,no_counterexample_found,2112,52,
9211,no_counterexample_found,1889,7,
9212,no_counterexample_found,2245,52,
9213,difference_test_written,2319,80,candidate_index=7;method1=OK;method2=EX
9214,no_counterexample_found,2068,52,
9215,no_counterexample_found,2071,52,
9216,no_counterexample_found,2005,52,
9217,no_counterexample_found,2109,64,
9218,difference_test_written,2131,81,candidate_index=45;method1=OK;method2=OK
9219,no_counterexample_found,2231,90,
9220,no_counterexample_found,2194,90,
9221,no_counterexample_found,2190,90,
9222,difference_test_written,2188,80,candidate_index=7;method1=OK;method2=EX
9223,difference_test_written,2538,52,candidate_index=3;method1=OK;method2=EX
9224,difference_test_written,2176,52,candidate_index=0;method1=OK;method2=OK
9225,no_counterexample_found,2060,43,
9226,no_counterexample_found,2153,52,
9227,difference_test_written,2178,52,candidate_index=3;method1=OK;method2=EX
9228,no_counterexample_found,2212,80,
9229,difference_test_written,2245,80,candidate_index=7;method1=OK;method2=EX
9230,no_counterexample_found,2303,100,
9231,no_counterexample_found,2114,52,
9232,no_counterexample_found,2315,80,
9233,no_counterexample_found,2235,125,
9234,no_counterexample_found,2189,125,
9235,no_counterexample_found,2352,125,
9236,no_counterexample_found,2292,43,
9237,difference_test_written,2311,100,candidate_index=7;method1=OK;method2=EX
9238,difference_test_written,2085,52,candidate_index=3;method1=OK;method2=EX
9239,difference_test_written,2188,52,candidate_index=3;method1=OK;method2=EX
9240,no_counterexample_found,2276,43,
9241,no_counterexample_found,2488,125,
9242,no_counterexample_found,2665,125,
9243,difference_test_written,2126,68,candidate_index=7;method1=OK;method2=EX
9244,difference_test_written,2106,52,candidate_index=3;method1=OK;method2=EX
9245,no_counterexample_found,2337,125,
9246,no_counterexample_found,2133,68,
9247,no_counterexample_found,2141,52,
9248,no_counterexample_found,2127,43,
9249,no_counterexample_found,2178,80,
9250,no_counterexample_found,2137,52,
9251,no_counterexample_found,2422,100,
9252,no_counterexample_found,2575,100,
9253,no_counterexample_found,2424,100,
9254,no_counterexample_found,2222,43,
9255,no_counterexample_found,2381,100,
9256,no_counterexample_found,2498,100,
9257,no_counterexample_found,2269,81,
9258,no_counterexample_found,2196,68,
9259,no_counterexample_found,2308,100,
9260,no_counterexample_found,2127,52,
9261,no_counterexample_found,2402,81,
9262,difference_test_written,2395,81,candidate_index=1;method1=EX;method2=OK
9263,no_counterexample_found,2263,43,
9264,no_counterexample_found,2188,43,
9265,no_counterexample_found,2113,52,
9266,no_counterexample_found,2205,64,
9267,no_counterexample_found,1909,6,
9268,no_counterexample_found,1951,6,
9269,no_counterexample_found,1972,6,
9270,no_counterexample_found,1999,6,
9271,no_counterexample_found,1876,6,
9272,no_counterexample_found,2024,6,
9273,difference_test_written,2160,52,candidate_index=3;method1=OK;method2=EX
9274,no_counterexample_found,2027,6,
9275,no_counterexample_found,2206,52,
9276,difference_test_written,2184,68,candidate_index=7;method1=OK;method2=EX
9277,no_counterexample_found,2192,68,
9278,no_counterexample_found,2504,100,
9279,no_counterexample_found,2139,100,
9280,no_counterexample_found,2159,100,
9281,no_counterexample_found,2164,100,
9282,no_counterexample_found,2081,68,
9283,difference_test_written,2201,80,candidate_index=7;method1=OK;method2=EX
9284,no_counterexample_found,2182,100,
9285,no_counterexample_found,2015,52,
9286,difference_test_written,2115,52,candidate_index=3;method1=OK;method2=EX
9287,no_counterexample_found,2547,100,
9288,no_counterexample_found,2484,52,
9289,no_counterexample_found,2374,81,
9290,no_counterexample_found,2191,80,
9291,no_counterexample_found,2155,52,
9292,no_counterexample_found,2248,81,
9293,no_counterexample_found,2187,43,
9294,difference_test_written,2148,52,candidate_index=3;method1=OK;method2=EX
9295,difference_test_written,2317,100,candidate_index=11;method1=OK;method2=OK
9296,no_counterexample_found,1975,4,
9297,no_counterexample_found,2242,52,
9298,no_counterexample_found,2070,4,
9299,no_counterexample_found,1930,4,
9300,no_counterexample_found,2027,4,
9301,no_counterexample_found,2200,52,
9302,no_counterexample_found,2751,52,
9303,no_counterexample_found,2601,125,
9304,no_counterexample_found,2037,7,
9305,no_counterexample_found,2281,81,
9306,difference_test_written,2539,81,candidate_index=1;method1=EX;method2=OK
9307,no_counterexample_found,2450,125,
9308,no_counterexample_found,2490,125,
9309,no_counterexample_found,2324,125,
9310,no_counterexample_found,2495,125,
9311,no_counterexample_found,2480,125,
9312,difference_test_written,2053,7,candidate_index=2;method1=OK;method2=OK
9313,no_counterexample_found,2203,100,
9314,no_counterexample_found,2387,125,
9315,no_counterexample_found,1997,4,
9316,no_counterexample_found,2279,10,
9317,no_counterexample_found,2038,6,
9318,difference_test_written,1903,7,candidate_index=6;method1=OK;method2=OK
9319,no_counterexample_found,1850,6,
9320,no_counterexample_found,2576,6,
9321,no_counterexample_found,2087,6,
