class_id,status,elapsed_ms,candidate_count,detail
4401,difference_test_written,1379,49,candidate_index=2;method1=OK;method2=OK
4402,difference_test_written,1551,49,candidate_index=13;method1=OK;method2=OK
4403,difference_test_written,1339,49,candidate_index=12;method1=OK;method2=OK
4404,no_counterexample_found,1321,45,
4405,no_counterexample_found,1228,5,
4406,no_counterexample_found,1214,9,
4407,no_counterexample_found,1229,6,
4408,no_counterexample_found,1235,6,
4409,no_counterexample_found,1263,6,
4410,difference_test_written,1308,6,candidate_index=2;method1=OK;method2=OK
4411,no_counterexample_found,1292,6,
4412,no_counterexample_found,1210,6,
4413,no_counterexample_found,1269,6,
4414,no_counterexample_found,1254,6,
4415,no_counterexample_found,1248,6,
4416,no_counterexample_found,1251,6,
4417,no_counterexample_found,1206,6,
4418,difference_test_written,1215,6,candidate_index=2;method1=OK;method2=OK
4419,no_counterexample_found,1232,6,
4420,no_counterexample_found,1277,6,
4421,no_counterexample_found,1225,6,
4422,difference_test_written,1220,6,candidate_index=2;method1=OK;method2=OK
4423,difference_test_written,1164,6,candidate_index=2;method1=OK;method2=OK
4424,difference_test_written,1248,6,candidate_index=2;method1=OK;method2=OK
4425,no_counterexample_found,1190,6,
4426,no_counterexample_found,1231,6,
4427,no_counterexample_found,1216,6,
4428,no_counterexample_found,1207,5,
4429,difference_test_written,1340,49,candidate_index=12;method1=OK;method2=OK
4430,no_counterexample_found,1464,125,
4431,no_counterexample_found,1416,100,
4432,difference_test_written,1415,100,candidate_index=5;method1=OK;method2=OK
4433,no_counterexample_found,1373,100,
4434,no_counterexample_found,1469,100,
4435,no_counterexample_found,1441,100,
4436,no_counterexample_found,1485,100,
4437,no_counterexample_found,1491,100,
4438,no_counterexample_found,1223,6,
4439,no_counterexample_found,1482,100,
4440,no_counterexample_found,1417,100,
4441,no_counterexample_found,1481,100,
4442,no_counterexample_found,1446,100,
4443,no_counterexample_found,1192,6,
4444,no_counterexample_found,1423,100,
4445,no_counterexample_found,1464,100,
4446,no_counterexample_found,1233,6,
4447,no_counterexample_found,1244,6,
4448,no_counterexample_found,1258,6,
4449,no_counterexample_found,1272,6,
4450,no_counterexample_found,1417,6,
4451,no_counterexample_found,1421,6,
4452,no_counterexample_found,1410,6,
4453,no_counterexample_found,1347,6,
4454,no_counterexample_found,1361,6,
4455,no_counterexample_found,1343,6,
4456,no_counterexample_found,1380,6,
4457,no_counterexample_found,1323,6,
4458,no_counterexample_found,1302,6,
4459,no_counterexample_found,1333,6,
4460,difference_test_written,1707,49,candidate_index=44;method1=OK;method2=OK
4461,no_counterexample_found,1339,6,
4462,no_counterexample_found,1476,49,
4463,difference_test_written,1348,6,candidate_index=4;method1=OK;method2=OK
4464,no_counterexample_found,1603,6,
4465,no_counterexample_found,1207,6,
4466,no_counterexample_found,1406,6,
4467,no_counterexample_found,1413,6,
4468,no_counterexample_found,1493,6,
4469,no_counterexample_found,1445,6,
4470,no_counterexample_found,1398,6,
4471,no_counterexample_found,1683,28,
4472,no_counterexample_found,2209,60,
4473,no_counterexample_found,1560,6,
4474,no_counterexample_found,1707,6,
4475,no_counterexample_found,1558,6,
4476,no_counterexample_found,1432,6,
4477,no_counterexample_found,1433,6,
4478,no_counterexample_found,1431,6,
4479,no_counterexample_found,1410,6,
4480,no_counterexample_found,1547,6,
4481,no_counterexample_found,1791,6,
4482,no_counterexample_found,1660,6,
4483,no_counterexample_found,1594,6,
4484,no_counterexample_found,1538,6,
4485,no_counterexample_found,1480,6,
4486,difference_test_written,1599,49,candidate_index=1;method1=OK;method2=OK
4487,no_counterexample_found,1750,6,
4488,no_counterexample_found,2116,81,
4489,no_counterexample_found,1865,49,
4490,no_counterexample_found,1882,6,
4491,no_counterexample_found,1549,6,
4492,no_counterexample_found,1524,6,
4493,no_counterexample_found,1538,6,
4494,no_counterexample_found,1554,6,
4495,no_counterexample_found,1632,6,
4496,no_counterexample_found,1615,6,
4497,no_counterexample_found,1482,6,
4498,no_counterexample_found,1455,6,
4499,no_counterexample_found,1785,6,
4500,no_counterexample_found,1530,6,
4501,no_counterexample_found,1571,6,
4502,no_counterexample_found,1479,6,
4503,no_counterexample_found,1382,6,
4504,no_counterexample_found,1388,6,
4505,no_counterexample_found,1370,6,
4506,no_counterexample_found,1835,100,
4507,no_counterexample_found,1801,100,
4508,no_counterexample_found,1436,6,
4509,no_counterexample_found,1824,81,
4510,difference_test_written,1765,49,candidate_index=20;method1=OK;method2=OK
4511,difference_test_written,1709,81,candidate_index=17;method1=EX;method2=OK
4512,no_counterexample_found,1426,6,
4513,no_counterexample_found,1636,90,
4514,no_counterexample_found,1684,81,
4515,no_counterexample_found,1657,90,
4516,difference_test_written,1597,81,candidate_index=15;method1=OK;method2=OK
4517,no_counterexample_found,1628,90,
4518,no_counterexample_found,1763,10,
4519,difference_test_written,2145,81,candidate_index=45;method1=OK;method2=OK
4520,no_counterexample_found,1645,10,
4521,no_counterexample_found,1581,10,
4522,no_counterexample_found,1568,10,
4523,no_counterexample_found,1889,10,
4524,difference_test_written,1816,81,candidate_index=45;method1=OK;method2=OK
4525,no_counterexample_found,1607,10,
4526,no_counterexample_found,1628,10,
4527,no_counterexample_found,1755,10,
4528,no_counterexample_found,1775,81,
4529,no_counterexample_found,1718,10,
4530,no_counterexample_found,1684,81,
4531,no_counterexample_found,1574,10,
4532,no_counterexample_found,1948,90,
4533,difference_test_written,1642,90,candidate_index=9;method1=EX;method2=OK
4534,no_counterexample_found,1412,10,
4535,no_counterexample_found,1457,10,
4536,no_counterexample_found,1961,10,
4537,no_counterexample_found,1322,10,
4538,no_counterexample_found,1383,10,
4539,no_counterexample_found,1475,10,
4540,no_counterexample_found,1424,10,
4541,no_counterexample_found,1420,10,
4542,no_counterexample_found,1736,90,
4543,no_counterexample_found,1779,81,
4544,no_counterexample_found,1817,81,
4545,no_counterexample_found,1422,10,
4546,no_counterexample_found,1592,10,
4547,no_counterexample_found,1528,10,
4548,no_counterexample_found,1642,81,
4549,no_counterexample_found,1339,10,
4550,no_counterexample_found,1303,10,
4551,no_counterexample_found,1473,10,
4552,no_counterexample_found,1607,81,
4553,no_counterexample_found,1378,10,
4554,difference_test_written,1577,49,candidate_index=6;method1=OK;method2=OK
4555,no_counterexample_found,1378,10,
